RespondentID,Age_Group,Gender,Income_Level,Education,Preferred_Brand,Brand_Awareness,Brand_Trust,Purchase_Intent,Price_Sensitivity,Social_Influence,Digital_Engagement,Repeat_Purchase_Prob,Purchase_Frequency,Info_Channel,Overall_Satisfaction,Loyalty_Tier
R103,45–54,Female,₹3L–₹6L,Graduate,Brand A (Premium),4,3,4,3,3,4,2,Quarterly,TV Ads,3.0,Neutral
R104,25–34,Male,₹3L–₹6L,Graduate,Brand C (Trendy),4,5,2,3,5,5,3,Rarely,TV Ads,4.15,Loyalist
R105,35–44,Male,> ₹10L,Doctorate,Brand B (Value),3,3,4,5,4,3,2,Monthly,Word of Mouth,2.65,Neutral
R106,35–44,Female,< ₹3L,Graduate,Brand C (Trendy),3,4,4,5,4,2,2,Quarterly,Online Reviews,2.75,Neutral
R107,45–54,Female,> ₹10L,Graduate,Brand B (Value),4,2,4,3,4,1,4,Weekly,Word of Mouth,2.8,Neutral
R108,35–44,Female,> ₹10L,Graduate,Brand A (Premium),4,4,5,5,5,3,2,Quarterly,Social Media,3.1,Neutral
R109,18–24,Female,₹3L–₹6L,High School,Brand B (Value),3,5,5,2,3,2,3,Monthly,Social Media,3.4,Neutral
R110,25–34,Male,₹3L–₹6L,High School,Brand A (Premium),4,3,3,4,5,5,4,Monthly,Online Reviews,3.9,Loyalist
R111,25–34,Other,₹6L–₹10L,Graduate,Brand B (Value),4,5,3,5,3,4,3,Monthly,Online Reviews,3.95,Loyalist
R112,18–24,Male,₹6L–₹10L,Post-Graduate,Brand C (Trendy),5,2,1,3,2,4,2,Quarterly,TV Ads,2.85,Neutral
R113,25–34,Male,> ₹10L,Graduate,Brand A (Premium),3,5,3,4,5,5,2,Monthly,Social Media,3.65,Loyalist
R114,35–44,Female,> ₹10L,Graduate,Brand D (Traditional),4,4,2,1,2,4,5,Monthly,Social Media,4.35,Loyalist
R115,45–54,Male,₹3L–₹6L,Graduate,Brand B (Value),4,2,2,4,3,4,3,Monthly,Social Media,3.05,Neutral
R116,55+,Male,< ₹3L,Post-Graduate,Brand B (Value),2,5,5,4,5,3,4,Quarterly,In-store,3.8,Loyalist
R117,18–24,Female,₹3L–₹6L,Graduate,Brand D (Traditional),4,5,1,3,3,3,4,Monthly,TV Ads,4.1,Loyalist
R118,18–24,Male,₹6L–₹10L,Graduate,Brand A (Premium),5,2,2,3,4,4,5,Weekly,TV Ads,3.9,Loyalist
R119,35–44,Female,₹6L–₹10L,Graduate,Brand B (Value),3,2,4,2,4,5,4,Monthly,Online Reviews,3.45,Neutral
R120,18–24,Female,< ₹3L,Graduate,Brand D (Traditional),4,3,4,4,4,3,5,Quarterly,Social Media,3.85,Loyalist
R121,18–24,Male,₹6L–₹10L,Graduate,Brand A (Premium),2,4,3,3,2,4,4,Weekly,TV Ads,3.7,Loyalist
R122,35–44,Male,> ₹10L,Graduate,Brand C (Trendy),4,5,5,4,4,3,2,Quarterly,Word of Mouth,3.4,Neutral
R123,18–24,Male,> ₹10L,Post-Graduate,Brand A (Premium),5,5,3,2,5,3,4,Monthly,TV Ads,4.25,Loyalist
R124,45–54,Female,> ₹10L,Graduate,Brand B (Value),4,3,2,4,2,4,4,Monthly,Social Media,3.7,Loyalist
R125,45–54,Male,> ₹10L,Doctorate,Brand C (Trendy),3,1,4,2,5,5,5,Monthly,TV Ads,3.5,Neutral
R126,18–24,Male,> ₹10L,Graduate,Brand A (Premium),3,4,2,4,5,5,3,Monthly,Social Media,3.7,Loyalist
R127,25–34,Male,< ₹3L,Graduate,Brand B (Value),4,4,4,1,3,4,4,Weekly,Social Media,4.0,Loyalist
R128,45–54,Female,> ₹10L,Post-Graduate,Brand C (Trendy),5,3,5,2,5,1,1,Monthly,TV Ads,2.2,Detractor
R129,55+,Male,₹3L–₹6L,Post-Graduate,Brand C (Trendy),4,4,5,2,5,3,3,Monthly,Social Media,3.45,Neutral
R130,25–34,Female,₹3L–₹6L,Post-Graduate,Brand A (Premium),4,5,5,3,2,4,3,Weekly,In-store,3.95,Loyalist
R131,18–24,Male,₹3L–₹6L,Graduate,Brand B (Value),5,2,1,5,4,5,2,Monthly,Word of Mouth,3.05,Neutral
R132,45–54,Female,> ₹10L,Post-Graduate,Brand D (Traditional),2,3,3,1,5,2,5,Monthly,In-store,3.35,Neutral
R133,45–54,Female,₹6L–₹10L,Post-Graduate,Brand B (Value),5,5,5,3,5,5,5,Weekly,In-store,5.0,Loyalist
R134,18–24,Male,₹3L–₹6L,Graduate,Brand C (Trendy),4,2,5,1,2,5,3,Weekly,Social Media,3.25,Neutral
R135,25–34,Female,₹3L–₹6L,Graduate,Brand A (Premium),3,2,4,3,3,2,4,Monthly,Social Media,2.85,Neutral
R136,35–44,Male,> ₹10L,Post-Graduate,Brand B (Value),5,3,4,2,4,5,5,Quarterly,In-store,4.4,Loyalist
R137,45–54,Female,₹6L–₹10L,Graduate,Brand B (Value),3,4,3,2,3,4,4,Quarterly,TV Ads,3.85,Loyalist
R138,18–24,Female,< ₹3L,Post-Graduate,Brand C (Trendy),2,2,3,3,3,5,3,Monthly,Word of Mouth,2.95,Neutral
R139,35–44,Male,₹3L–₹6L,Post-Graduate,Brand C (Trendy),3,2,1,3,2,4,4,Weekly,Online Reviews,3.25,Neutral
R140,45–54,Male,₹3L–₹6L,Post-Graduate,Brand C (Trendy),4,4,5,2,1,4,3,Quarterly,Social Media,3.65,Loyalist
R141,25–34,Male,₹3L–₹6L,Graduate,Brand C (Trendy),2,4,3,4,3,5,4,Rarely,Word of Mouth,3.9,Loyalist
R142,18–24,Male,₹6L–₹10L,Post-Graduate,Brand C (Trendy),4,4,5,2,3,5,4,Weekly,Social Media,4.2,Loyalist
R143,18–24,Male,₹3L–₹6L,Graduate,Brand D (Traditional),3,4,1,5,4,4,3,Monthly,Social Media,3.5,Neutral
R144,25–34,Male,₹6L–₹10L,Graduate,Brand B (Value),4,5,4,2,5,4,4,Weekly,Social Media,4.3,Loyalist
R145,45–54,Female,> ₹10L,Post-Graduate,Brand C (Trendy),2,2,4,5,2,5,4,Quarterly,Social Media,3.3,Neutral
R146,18–24,Male,₹6L–₹10L,Doctorate,Brand B (Value),5,4,1,2,3,3,4,Weekly,Social Media,3.95,Loyalist
R147,18–24,Female,< ₹3L,Graduate,Brand A (Premium),5,3,4,5,5,4,3,Rarely,Word of Mouth,3.5,Neutral
R148,25–34,Male,₹3L–₹6L,High School,Brand A (Premium),3,4,4,1,5,2,4,Monthly,TV Ads,3.45,Neutral
R149,18–24,Male,₹3L–₹6L,High School,Brand C (Trendy),4,3,4,1,2,3,2,Quarterly,Online Reviews,2.8,Neutral
R150,18–24,Female,₹6L–₹10L,Graduate,Brand C (Trendy),4,2,4,1,4,4,4,Monthly,Social Media,3.4,Neutral
